# Next Gen Visuals 2.0
#
# stores intial values for configuration of in game elements
#Name	Value
#Values to use with height based reflection map
car.dashlight.innerConeAngle	    0.00
car.dashlight.outerConeAngle	    90.00
car.dashlight.day.emissive.on	    0.00
car.dashlight.night.emissive.on	    0.00
car.dashlight.day.emissive.off	    0.00
car.dashlight.night.emissive.off	0.00
car.dashlight.coronaHDR             1.00
car.dashlight.coronaSize            1.00
car.dashlight.falloffExp			4

car.doorlight.color.red	            0.35
car.doorlight.color.green	        0.70
car.doorlight.color.blue	        1.40
car.doorlight.intensity	            0.05
car.doorlight.radius	            1.10
car.doorlight.innerConeAngle	    0.00
car.doorlight.outerConeAngle	    90.00
car.doorlight.day.emissive.on	    0.00
car.doorlight.night.emissive.on	    0.00
car.doorlight.day.emissive.off	    0.00
car.doorlight.night.emissive.off	0.00
car.doorlight.coronaHDR             1.00
car.doorlight.coronaSize            1.00
car.doorlight.falloffExp		4


car.taxi.color.red	1.00
car.taxi.color.green	1.00
car.taxi.color.blue	0.60
car.taxi.intensity	1.00
car.taxi.radius	1.00
car.taxi.innerConeAngle	0.50
car.taxi.outerConeAngle	1.00
car.taxi.coronaHDR 1.00
car.taxi.coronaSize 1.00

car.neon.defaultcolor.red	1.00
car.neon.defaultcolor.green	1.00
car.neon.defaultcolor.blue	1.00
car.neon.intensity	25.0
car.neon.radius	1.5
car.neon.falloffexponent 135.0
car.neon.capsuleextent.sides 1.3
car.neon.capsuleextent.frontback 0.6
car.neon.clipplaneheight -0.014
car.neon.bikeclipplaneheight 0.25

car.headlights.angle	-0.5
car.headlights.split	0.0
car.headlights.global.HeadlightIntensityMult	3.0
car.headlights.global.HeadlightDistMult	2.5
car.headlights.global.ConeInnerAngleMod	1.0
car.headlights.global.ConeOuterAngleMod	1.0
car.headlights.global.OnlyOneLightMod	1.0
car.headlights.global.Fake2LightsAngleMod	0.95
car.headlights.global.Fake2LightsDisplacementMod	0.17
car.headlights.submarine.Fake2LightsAngleMod 0.84
car.headlights.submarine.Fake2LightsDisplacementMod	0.0
car.headlights.fullbeam.IntensityMult	1.20
car.headlights.fullbeam.DistMult	2.75
car.headlights.fullbeam.CoronaIntensityMult	2.0
car.headlights.fullbeam.CoronaSizeMult	1.15
car.headlights.aim.fullbeam.mod	-0.15
car.headlights.aim.dippedbeam.mod	-0.3
car.headlights.aim.fullbeam.angle	0.0
car.headlights.aim.dippedbeam.angle	0.0
car.headlights.player.intensitymult    1.4
car.headlights.player.distmult    0.4
car.headlights.player.exponentmult	3.0
car.headlights.useDynamicShadows	1.0


car.headlights.volume.intensityscale	0.010
car.headlights.volume.sizescale		0.5
car.headlights.volume.outerintensity	0.5
car.headlights.volume.outerexponent	50.0


car.headlights.volume.outerVolumeColor.red	1.00
car.headlights.volume.outerVolumeColor.green	1.00
car.headlights.volume.outerVolumeColor.blue	1.00

car.coronas.MainFadeRatio	1.0
car.coronas.BeginStart	100.0
car.coronas.BeginEnd	150.0
car.coronas.CutoffStart	450.0
car.coronas.CutoffEnd	510.0
car.coronas.underwaterFade		0.4

car.sirens.SpecularFade	220.0
car.sirens.ShadowFade 220.0


heli.poslight.nearStrength	20.0
heli.poslight.farStrength	80.0
heli.poslight.nearSize	0.35
heli.poslight.farSize	3.00
heli.poslight.intensity_typeA	14.0
heli.poslight.intensity_typeB	3.00
heli.poslight.radius	30.0

heli.poslight.rightColor.red	0.02
heli.poslight.rightColor.green	0.32
heli.poslight.rightColor.blue	0.10

heli.poslight.leftColor.red	0.80
heli.poslight.leftColor.green	0.03
heli.poslight.leftColor.blue	0.025


heli.whiteheadlight.nearStrength	30.0
heli.whiteheadlight.farStrength	40.0
heli.whiteheadlight.nearSize	0.25
heli.whiteheadlight.farSize	4.00
heli.whiteheadlight.intensity	2.0
heli.whiteheadlight.radius	5.0


heli.whiteheadlight.color.red	1.00
heli.whiteheadlight.color.green	1.00
heli.whiteheadlight.color.blue	1.00


heli.whitetaillight.nearStrength	20.0
heli.whitetaillight.farStrength	65.0
heli.whitetaillight.nearSize	0.30
heli.whitetaillight.farSize	5.00
heli.whitetaillight.intensity	5.0
heli.whitetaillight.radius	2.5

heli.whitetaillight.color.red	1.00
heli.whitetaillight.color.green	1.00
heli.whitetaillight.color.blue	1.00


heli.interiorlight.color.red	0.35
heli.interiorlight.color.green	0.70
heli.interiorlight.color.blue	1.40
heli.interiorlight.intensity	1.00
heli.interiorlight.radius	2.70
heli.interiorlight.innerConeAngle	60.00
heli.interiorlight.outerConeAngle	90.00
heli.interiorlight.day.emissive.on	0.00
heli.interiorlight.night.emissive.on	0.00
heli.interiorlight.day.emissive.off	0.00
heli.interiorlight.night.emissive.off	0.00
heli.interiorlight.coronaHDR 1.00
heli.interiorlight.coronaSize -0.25


plane.poslight.nearStrength	1.0
plane.poslight.farStrength 10.0
plane.poslight.nearSize	1.0
plane.poslight.farSize	20.0
plane.poslight.intensity_typeA	13.0
plane.poslight.intensity_typeB	13.0
plane.poslight.radius	50.0

plane.poslight.rightColor.red	0.0
plane.poslight.rightColor.green	0.3
plane.poslight.rightColor.blue	0.1

plane.poslight.leftColor.red	1.0
plane.poslight.leftColor.green	0.0
plane.poslight.leftColor.blue	0.015


plane.whiteheadlight.nearStrength	1.0
plane.whiteheadlight.farStrength	10.0
plane.whiteheadlight.nearSize	1.25
plane.whiteheadlight.farSize	15
plane.whiteheadlight.intensity	5.0
plane.whiteheadlight.radius	1.50


plane.whiteheadlight.color.red	1.00
plane.whiteheadlight.color.green	1.00
plane.whiteheadlight.color.blue	1.00


plane.whitetaillight.nearStrength	1.0
plane.whitetaillight.farStrength	10.0
plane.whitetaillight.nearSize	0.5
plane.whitetaillight.farSize	15.0
plane.whitetaillight.intensity	6.0
plane.whitetaillight.radius	1.75

plane.whitetaillight.color.red	1.00
plane.whitetaillight.color.green	1.00
plane.whitetaillight.color.blue	1.00


plane.controlpanel.light.color.red 		0.00
plane.controlpanel.light.color.green 	0.00
plane.controlpanel.light.color.blue 	1.00
plane.controlpanel.light.intensity 		3.00
plane.controlpanel.light.falloff 		1.00
plane.controlpanel.light.falloff.exponent	32.00


plane.emergency.right.light.color.red 			1.0
plane.emergency.right.light.color.green			0.5
plane.emergency.right.light.color.blue			0.0
plane.emergency.right.light.intensity 			0.0
plane.emergency.right.light.falloff 			9.0
plane.emergency.right.light.falloff.exponent 	32.0
plane.emergency.right.light.inner.angle 		60.0
plane.emergency.right.light.outer.angle 		65.0
plane.emergency.right.light.rotation			270.0


plane.emergency.left.light.color.red 			1.00
plane.emergency.left.light.color.green			0.50
plane.emergency.left.light.color.blue			0.00
plane.emergency.left.light.intensity 			32.00
plane.emergency.left.light.falloff 				10.00
plane.emergency.left.light.falloff.exponent 	32.00
plane.emergency.left.light.inner.angle 			60.00
plane.emergency.left.light.outer.angle 			65.00
plane.emergency.left.light.rotation				270.0


plane.insidehull.light.color.red 		1.00
plane.insidehull.light.color.green		1.00
plane.insidehull.light.color.blue		1.00
plane.insidehull.light.intensity 		0.00
plane.insidehull.light.falloff 			6.00
plane.insidehull.light.falloff.exponent	4.00
plane.insidehull.light.inner.angle 		60.00
plane.insidehull.light.outer.angle 		85.00


plane.luxe2.cabin.color.red	            1.00
plane.luxe2.cabin.color.green	        1.00
plane.luxe2.cabin.color.blue	        1.00
plane.luxe2.cabin.intensity	            5.0
plane.luxe2.cabin.radius	            2.4
plane.luxe2.cabin.innerConeAngle	    20.0
plane.luxe2.cabin.outerConeAngle	    180.00
plane.luxe2.cabin.falloffExp			8.0
plane.luxe2.cabin.useDynamicShadows		1.0


plane.luxe2.cabin.strip.color.red	        1.00
plane.luxe2.cabin.strip.color.green	        1.00
plane.luxe2.cabin.strip.color.blue	        1.00
plane.luxe2.cabin.strip.intensity	        3.0
plane.luxe2.cabin.strip.radius	            1.63
plane.luxe2.cabin.strip.falloffExp			128.0
plane.luxe2.cabin.strip.capsuleLength		4.7


plane.luxe2.cabin.tv.color.red	        0.07
plane.luxe2.cabin.tv.color.green	    0.22
plane.luxe2.cabin.tv.color.blue	        0.97
plane.luxe2.cabin.tv.intensity	        3.0
plane.luxe2.cabin.tv.radius	            1.5
plane.luxe2.cabin.tv.innerConeAngle	    20.0
plane.luxe2.cabin.tv.outerConeAngle	    180.00
plane.luxe2.cabin.tv.falloffExp			8.0


plane.luxe2.cabin.lod.color.red	        1.00
plane.luxe2.cabin.lod.color.green	    1.00
plane.luxe2.cabin.lod.color.blue	    1.00
plane.luxe2.cabin.lod.intensity	        1.1
plane.luxe2.cabin.lod.radius	        1.0
plane.luxe2.cabin.lod.falloffExp		1.0
plane.luxe2.cabin.lod.capsuleLength		6.5


plane.luxe2.cabin.window.color.red	        1.0
plane.luxe2.cabin.window.color.green	    1.0
plane.luxe2.cabin.window.color.blue	        1.0
plane.luxe2.cabin.window.intensity	        0.5
plane.luxe2.cabin.window.radius	            1.3
plane.luxe2.cabin.window.innerConeAngle	    0.0
plane.luxe2.cabin.window.outerConeAngle	    90.0
plane.luxe2.cabin.window.falloffExp			32.0
plane.luxe2.cabin.window.useSun				1.0


heli.swift2.cabin.color.red	            1.00
heli.swift2.cabin.color.green	        1.00
heli.swift2.cabin.color.blue	        1.00
heli.swift2.cabin.intensity	            5.0
heli.swift2.cabin.radius	            1.5
heli.swift2.cabin.innerConeAngle	    20.0
heli.swift2.cabin.outerConeAngle	    180.00
heli.swift2.cabin.falloffExp			16.0
heli.swift2.cabin.useDynamicShadows		1.0


boat.intensity	10
boat.radius	0.7

boat.color.red	1.00
boat.color.green	1.00
boat.color.blue	1.00

boat.light.interiorshutdowndistance	100.0
boat.light.fadelength	10.0
boat.light.shutdowndistance	60.0
boat.corona.fadelength	20.0
boat.corona.size	4.0
boat.corona.intensity	1.0
boat.corona.zBias	0.02

sub.lightOne.color.red	1.00
sub.lightOne.color.green	1.00
sub.lightOne.color.blue	1.00
sub.lightOne.intensity	1.00
sub.lightOne.radius	2.00
sub.lightOne.falloffExp 8.0
sub.lightOne.innerConeAngle	0.00
sub.lightOne.outerConeAngle	90.00
sub.lightOne.coronaHDR 0.00
sub.lightOne.coronaSize 0.00

sub.lightTwo.color.red	1.00
sub.lightTwo.color.green	1.00
sub.lightTwo.color.blue	1.00
sub.lightTwo.intensity	1.00
sub.lightTwo.radius	2.00
sub.lightTwo.falloffExp 8.0
sub.lightTwo.innerConeAngle	0.00
sub.lightTwo.outerConeAngle	90.00
sub.lightTwo.coronaHDR 0.00
sub.lightTwo.coronaSize 0.00


train.light.r				1.0
train.light.g				1.0
train.light.b				0.8
train.light.intensity			3.0
train.light.falloffmax			3.0
train.light.fadingdistance		350.0
train.light.fadelength			30.0
train.ambientvolume.intensityscaler	4.0


car.headlight.day.emissive.on 120.00
car.headlight.night.emissive.on 5.00
car.headlight.day.emissive.off 0.001
car.headlight.night.emissive.off 0.001
car.taillight.day.emissive.on 200.00
car.taillight.night.emissive.on 100.00
car.taillight.day.emissive.off 0.6
car.taillight.night.emissive.off 0.006
car.indicator.day.emissive.on 450.0
car.indicator.night.emissive.on 40.0
car.indicator.day.emissive.off 0.004
car.indicator.night.emissive.off 0.006
car.reversinglight.day.emissive.on 110.0
car.reversinglight.night.emissive.on 50.0
car.reversinglight.day.emissive.off 0.2
car.reversinglight.night.emissive.off 0.006
car.defaultlight.day.emissive.on 800.00
car.defaultlight.night.emissive.on 200.00
car.defaultlight.day.emissive.off 0.001
car.defaultlight.night.emissive.off 0.006
car.brakelight.day.emissive.on 150.00
car.brakelight.night.emissive.on 150.0
car.brakelight.day.emissive.off 0.006
car.brakelight.night.emissive.off 0.006
car.middlebrakelight.day.emissive.on 1400.0
car.middlebrakelight.night.emissive.on 350.0
car.middlebrakelight.day.emissive.off 0.6
car.middlebrakelight.night.emissive.off 0.006
car.extralight.day.emissive.on 400.0
car.extralight.night.emissive.on 10.0
car.extralight.day.emissive.off 0.1
car.extralight.night.emissive.off 0.1
car.sirenlight.day.emissive.on 1500.0
car.sirenlight.night.emissive.on 1200.0
car.sirenlight.day.emissive.off 0.1
car.sirenlight.night.emissive.off 0.1
car.emissiveMultiplier 2.0

car.lod.distance.high 90.0
car.lod.distance.low 370.0

defaultsearchlight.length	110.0
defaultsearchlight.offset	-0.10
defaultsearchlight.color.red	0.030
defaultsearchlight.color.green	0.020
defaultsearchlight.color.blue	0.030
defaultsearchlight.mainLightInfo.falloffScale	1.0
defaultsearchlight.mainLightInfo.falloffExp	10.0
defaultsearchlight.mainLightInfo.innerAngle	0.0
defaultsearchlight.mainLightInfo.outerAngle	3.0
defaultsearchlight.mainLightInfo.globalIntensity	4.0
defaultsearchlight.mainLightInfo.lightIntensityScale	12.0
defaultsearchlight.mainLightInfo.volumeIntensityScale	0.135
defaultsearchlight.mainLightInfo.volumeSizeScale	0.5
defaultsearchlight.mainLightInfo.outerVolumeColor.color.red	0.0
defaultsearchlight.mainLightInfo.outerVolumeColor.color.green	0.0
defaultsearchlight.mainLightInfo.outerVolumeColor.color.blue	0.0
defaultsearchlight.mainLightInfo.outerVolumeIntensity	0.0
defaultsearchlight.mainLightInfo.outerVolumeFallOffExponent	50.0
defaultsearchlight.mainLightInfo.enable	1.0
defaultsearchlight.mainLightInfo.specular	1.0
defaultsearchlight.mainLightInfo.shadow	1.0
defaultsearchlight.mainLightInfo.volume	1.0
defaultsearchlight.mainLightInfo.coronaIntensity	4.0
defaultsearchlight.mainLightInfo.coronaIntensityFar	11.0
defaultsearchlight.mainLightInfo.coronaSize	4.0
defaultsearchlight.mainLightInfo.coronaSizeFar	30.0
defaultsearchlight.mainLightInfo.coronaZBias	0.3
defaultsearchlight.mainLightInfo.coronaOffset	0.4
defaultsearchlight.mainLightInfo.lightFadeDist	40.0

helisearchlight.length	180.0
helisearchlight.offset	0.00
helisearchlight.color.red	1.0
helisearchlight.color.green	1.0
helisearchlight.color.blue	1.0
helisearchlight.mainLightInfo.falloffScale	1.0
helisearchlight.mainLightInfo.falloffExp	2000.0
helisearchlight.mainLightInfo.innerAngle	0.0
helisearchlight.mainLightInfo.outerAngle	4.0
helisearchlight.mainLightInfo.globalIntensity	4.0
helisearchlight.mainLightInfo.lightIntensityScale	600.0
helisearchlight.mainLightInfo.volumeIntensityScale	0.004
helisearchlight.mainLightInfo.volumeSizeScale	0.8
helisearchlight.mainLightInfo.outerVolumeColor.color.red	0.0
helisearchlight.mainLightInfo.outerVolumeColor.color.green	0.0
helisearchlight.mainLightInfo.outerVolumeColor.color.blue	0.0
helisearchlight.mainLightInfo.outerVolumeIntensity	0.0
helisearchlight.mainLightInfo.outerVolumeFallOffExponent	50.0
helisearchlight.mainLightInfo.enable	1.0
helisearchlight.mainLightInfo.specular	1.0
helisearchlight.mainLightInfo.shadow	1.0
helisearchlight.mainLightInfo.volume	1.0
helisearchlight.mainLightInfo.coronaIntensity	1.0
helisearchlight.mainLightInfo.coronaIntensityFar	10.0
helisearchlight.mainLightInfo.coronaSize	7.0
helisearchlight.mainLightInfo.coronaSizeFar	20.0
helisearchlight.mainLightInfo.coronaZBias	0.3
helisearchlight.mainLightInfo.coronaOffset	0.4
helisearchlight.mainLightInfo.lightFadeDist	40.0
	
boatsearchlight.length	100.0
boatsearchlight.offset	-0.110
boatsearchlight.color.red	0.030
boatsearchlight.color.green	0.030
boatsearchlight.color.blue	0.030
boatsearchlight.mainLightInfo.falloffScale	2.0
boatsearchlight.mainLightInfo.falloffExp	8.0
boatsearchlight.mainLightInfo.innerAngle	0.0
boatsearchlight.mainLightInfo.outerAngle	5.0
boatsearchlight.mainLightInfo.globalIntensity	4.0
boatsearchlight.mainLightInfo.lightIntensityScale	10.0
boatsearchlight.mainLightInfo.volumeIntensityScale	0.125
boatsearchlight.mainLightInfo.volumeSizeScale	0.5
boatsearchlight.mainLightInfo.outerVolumeColor.color.red	0.0
boatsearchlight.mainLightInfo.outerVolumeColor.color.green	0.0
boatsearchlight.mainLightInfo.outerVolumeColor.color.blue	0.0
boatsearchlight.mainLightInfo.outerVolumeIntensity	0.0
boatsearchlight.mainLightInfo.outerVolumeFallOffExponent	50.0
boatsearchlight.mainLightInfo.enable	1.0
boatsearchlight.mainLightInfo.specular	1.0
boatsearchlight.mainLightInfo.shadow	1.0
boatsearchlight.mainLightInfo.volume	1.0
boatsearchlight.mainLightInfo.coronaIntensity	6.0
boatsearchlight.mainLightInfo.coronaIntensityFar	12.0
boatsearchlight.mainLightInfo.coronaSize	1.5
boatsearchlight.mainLightInfo.coronaSizeFar	20.0
boatsearchlight.mainLightInfo.coronaZBias	0.3
boatsearchlight.mainLightInfo.coronaOffset	0.235
boatsearchlight.mainLightInfo.lightFadeDist	40.0


trafficLight.red.color.red	0.50
trafficLight.red.color.green	0.010
trafficLight.red.color.blue	0.010

trafficLight.amber.color.red	0.20
trafficLight.amber.color.green	0.20
trafficLight.amber.color.blue	0.00

trafficLight.green.color.red	0.01
trafficLight.green.color.green	0.30
trafficLight.green.color.blue	0.145
trafficLight.walk.color.red		0.03
trafficLight.walk.color.green	1.0
trafficLight.walk.color.blue	0.135
trafficLight.dontwalk.color.red		1.00
trafficLight.dontwalk.color.green	0.005
trafficLight.dontwalk.color.blue	0.0001

trafficLight.near.na.color.red		1.00
trafficLight.near.na.color.green	1.00
trafficLight.near.na.color.blue		1.00
trafficLight.near.intensity		1.6
trafficLight.near.radius		2.0
trafficlight.near.falloffExp 		10.0
trafficLight.near.innerConeAngle	0.10
trafficLight.near.outerConeAngle	60.00
trafficLight.near.coronaHDR		0.040
trafficLight.near.coronaSize		6.0

trafficLight.farFadeStart	180.0
trafficLight.farFadeEnd		220.0
trafficLight.nearFadeStart	90.0
trafficLight.nearFadeEnd	130.0


imposter.color.blendRange	54.0
imposter.color.blendBias	128.0
imposter.color.size1	128.0
imposter.color.amt1	12.0
imposter.color.size2	64.0
imposter.color.amt2	12.0

imposter.backgroundColor.red	0.20
imposter.backgroundColor.green	0.20
imposter.backgroundColor.blue	0.10
imposter.shadow.blendRange	12.0
imposter.shadow.blendBias	128.0
imposter.shadow.size1	256.0
imposter.shadow.amt1	12.0
imposter.shadow.size2	128.0
imposter.shadow.amt2	64.0


ped.ambientvolume.maxstrength	1.0
ped.ambientvolume.fadestart	16.0
ped.ambientvolume.fadeend	20.0
ped.ambientvolume.baseintensity 0.0
ped.incarAmbientScale 0.4

pedLight.color.red	1.0
pedLight.color.green	1.0
pedLight.color.blue	1.0
pedlight.intensity	7.0
pedlight.radius	7.0
pedlight.innerConeAngle	25.0
pedlight.outerConeAngle	40.0
pedlight.coronaHDR 1.0
pedlight.coronaSize 2.0
pedlight.falloffExp	32.0
pedlight.volumeIntensity 0.4
pedlight.volumeSize 0.005
pedlight.volumeExponent 70.0
pedLight.volumeColor.x 1.0
pedLight.volumeColor.y 1.0
pedLight.volumeColor.z 0.5
pedLight.volumeColor.w 1.0
pedlight.fade 20.0
pedlight.shadowFade 15.0
pedlight.specularFade 10.0

pedFpsLight.color.red	1.0
pedFpsLight.color.green	1.0
pedFpsLight.color.blue	1.0
pedFpslight.intensity	10.0
pedFpslight.radius	15.0
pedFpslight.innerConeAngle	10.0
pedFpslight.outerConeAngle	30.0
pedFpslight.coronaHDR 1.0
pedFpslight.coronaSize 1.9
pedFpslight.falloffExp	128.0
pedFpslight.volumeIntensity 0.06
pedFpslight.volumeSize 0.5
pedFpslight.volumeExponent 70.0
pedFpsLight.volumeColor.x 1.0
pedFpsLight.volumeColor.y 1.0
pedFpsLight.volumeColor.z 0.5
pedFpsLight.volumeColor.w 1.0
pedFpslight.fade 20.0
pedFpslight.shadowFade 15.0
pedFpslight.specularFade 10.0

pedFootLight.color.red		1.0
pedFootLight.color.green	1.0
pedFootLight.color.blue		1.0
pedFootLight.intensity		6.0
pedFootLight.radius			0.15
pedFootLight.capsuleLength	0.1
pedFootLight.offset.x 		0.15
pedFootLight.offset.y 		-0.075
pedFootLight.offset.z		0.0
pedFootLight.offset.w 		0.0
pedFootLight.falloffExp		11.0
pedFootLight.fade 		20.0
pedFootLight.specularFade 	10.0


ped.lod.distance.high	55.00
ped.lod.distance.medium	105.00
ped.lod.distance.low	165.00
pedincar.lod.distance.high	15.00
pedincar.lod.distance.high.x64	31.00


cam.followped.blur.zoom.x	0
cam.followped.blur.zoom.y	0.1
cam.followped.blur.zoom.z	0.0
cam.followped.blur.zoom.w	0.025

cam.followped.blur.damage.x	0
cam.followped.blur.damage.y	10.0
cam.followped.blur.damage.z	0.0
cam.followped.blur.damage.w	0.025

cam.followped.blur.falling.x	3
cam.followped.blur.falling.y	10.0
cam.followped.blur.falling.z	0.0
cam.followped.blur.falling.w	0.1

cam.followped.blur.beta.x	0.045
cam.followped.blur.beta.y	0.05
cam.followped.blur.beta.z	0.00
cam.followped.blur.beta.w	0.01
cam.followped.blur.damage.time	500
cam.followped.blur.damage.attacktime	0.1
cam.followped.blur.damage.decaytime	0.3
cam.followped.blur.cap	0.3

cam.aimweapon.blur.zoom.x	0
cam.aimweapon.blur.zoom.y	0.1
cam.aimweapon.blur.zoom.z	0.0
cam.aimweapon.blur.zoom.w	0.1

cam.aimweapon.blur.damage.x	0
cam.aimweapon.blur.damage.y	10.0
cam.aimweapon.blur.damage.z	0.0
cam.aimweapon.blur.damage.w	0.1
cam.aimweapon.blur.damage.time	1000
cam.aimweapon.blur.interp	0.05
cam.aimweapon.blur.damage.attacktime	0.1
cam.aimweapon.blur.damage.decaytime	0.3
cam.aimweapon.blur.cap	1.0

cam.followvehicle.blur.zoom.x	0
cam.followvehicle.blur.zoom.y	0.1
cam.followvehicle.blur.zoom.z	0.0
cam.followvehicle.blur.zoom.w	0.025

cam.followvehicle.blur.speed.x	25
cam.followvehicle.blur.speed.y	50.0
cam.followvehicle.blur.speed.z	0.0
cam.followvehicle.blur.speed.w	0.2

cam.followvehicle.blur.damage.x	50
cam.followvehicle.blur.damage.y	100
cam.followvehicle.blur.damage.z	0.0
cam.followvehicle.blur.damage.w	0.03
cam.followvehicle.blur.damage.time	500
cam.followvehicle.blur.cap	0.3
cam.game.blur.wasted	0.1
cam.game.blur.wasted.fadetime	1000
cam.game.blur.busted	0.1
cam.game.blur.busted.fadetime	1000
cam.game.blur.cap	1
cam.fpsweapon.blur	0.001
cam.fpsweapon.sniperinitime	300
cam.fpsweapon.blur.cap	1
cam.intermezzo.stuntjump.blur	0.02


lod.container.caploddist	750


distantlights.inlandHeight 0.0
distantlights.size 0.3
distantlights.sizeReflections 0.6
distantlights.sizeMin 7.0
distantlights.sizeUpscale 1.2
distantlights.sizeUpscaleReflections 1.0
distantlights.flicker 0.1
distantlights.twinkleAmount 1.0
distantlights.twinkleSpeed 0.05
distantlights.carlightZOffset 2.0
distantlights.hourStart 19.0
distantlights.hourEnd 7.0
distantlights.streetLightHourStart 19.0
distantlights.streetLighthourEnd 7.0
distantlights.sizeDistStart 0.0001
distantlights.sizeDist 0.0001

distantlights.speed0 0.2
distantlights.speed1 0.35
distantlights.speed2 0.4
distantlights.speed3 0.6

distantlights.density0Spacing 10.0
distantlights.density15Spacing 1.0
distantlights.speed0Speed 0.3
distantlights.speed3Speed 0.1
distantlights.randomizeSpeed.sp 0.5
distantlights.randomizeSpacing.sp 0.25
distantlights.randomizeSpeed.mp 0.5
distantlights.randomizeSpacing.mp 0.5
distantlights.carlight.HDRIntensity 5.0
distantlights.carlight.nearFade 375.0
distantlights.carlight.farFade 450.0

distantlights.carlight1.spacing.sp 2.0
distantlights.carlight1.speed.sp 40.0
distantlights.carlight1.spacing.mp 3.5
distantlights.carlight1.speed.mp 35.0
distantlights.carlight1.color.red 1.0
distantlights.carlight1.color.green 0.95
distantlights.carlight1.color.blue 0.9

distantlights.carlight2.spacing.sp 3.0
distantlights.carlight2.speed.sp 20.0
distantlights.carlight2.spacing.mp 3.0
distantlights.carlight2.speed.mp 20.0
distantlights.carlight2.color.red 1.0
distantlights.carlight2.color.green 0.1
distantlights.carlight2.color.blue 0.0

distantlights.streetlight.HDRIntensity 25.0
distantlights.streetlight.ZOffset 12.0
distantlights.streetlight.Spacing 25.0
distantlights.streetlight.color.red 1.0
distantlights.streetlight.color.green 0.6
distantlights.streetlight.color.blue 0.2


